  <Chi2>	   dG(A)	   dG(B)	  dG(AB)	    m(A)	
9.254e-05	  -3.131	  -2.465	   4.427	   0.232	
9.073e-05	  -3.188	  -2.293	   4.353	   0.233	
9.376e-05	  -3.175	  -2.465	   4.438	   0.229	
1.007e-04	  -3.009	  -2.337	   4.260	   0.229	
1.038e-04	  -3.253	  -2.412	   4.459	   0.230	
1.026e-04	  -3.158	  -2.431	   4.439	   0.235	
1.074e-04	  -3.155	  -2.494	   4.424	   0.226	
1.030e-04	  -3.077	  -2.463	   4.403	   0.233	
9.568e-05	  -3.123	  -2.363	   4.355	   0.232	
1.128e-04	  -3.046	  -2.273	   4.249	   0.231	
1.072e-04	  -3.028	  -2.297	   4.263	   0.232	
9.772e-05	  -3.136	  -2.443	   4.380	   0.226	
6.617e-05	  -3.240	  -2.417	   4.462	   0.233	
9.535e-05	  -3.136	  -2.388	   4.385	   0.233	
8.890e-05	  -3.161	  -2.378	   4.372	   0.229	
8.528e-05	  -3.171	  -2.430	   4.419	   0.231	
1.191e-04	  -3.168	  -2.468	   4.430	   0.228	
8.965e-05	  -3.159	  -2.332	   4.346	   0.228	
9.655e-05	  -3.165	  -2.353	   4.386	   0.233	
8.685e-05	  -3.178	  -2.407	   4.443	   0.237	
1.084e-04	  -3.070	  -2.382	   4.338	   0.232	
9.071e-05	  -3.050	  -2.389	   4.335	   0.232	
1.291e-04	  -3.106	  -2.363	   4.344	   0.231	
1.065e-04	  -2.949	  -2.360	   4.249	   0.231	
1.072e-04	  -3.057	  -2.304	   4.262	   0.229	
9.580e-05	  -3.150	  -2.475	   4.435	   0.231	
1.151e-04	  -3.073	  -2.311	   4.290	   0.231	
8.881e-05	  -3.149	  -2.315	   4.346	   0.232	
9.790e-05	  -3.084	  -2.400	   4.355	   0.232	
9.331e-05	  -3.168	  -2.332	   4.342	   0.228	
9.299e-05	  -3.306	  -2.410	   4.501	   0.233	
1.088e-04	  -3.168	  -2.358	   4.386	   0.232	
9.740e-05	  -3.192	  -2.408	   4.450	   0.238	
1.008e-04	  -3.112	  -2.488	   4.433	   0.233	
1.117e-04	  -3.129	  -2.468	   4.442	   0.235	
9.085e-05	  -3.139	  -2.394	   4.376	   0.230	
9.398e-05	  -3.018	  -2.286	   4.239	   0.230	
1.032e-04	  -3.160	  -2.434	   4.428	   0.233	
1.098e-04	  -2.921	  -2.323	   4.183	   0.226	
1.106e-04	  -3.016	  -2.286	   4.249	   0.232	
9.906e-05	  -3.085	  -2.230	   4.263	   0.234	
1.362e-04	  -3.057	  -2.420	   4.329	   0.227	
1.088e-04	  -3.215	  -2.501	   4.487	   0.229	
9.086e-05	  -3.072	  -2.410	   4.324	   0.225	
1.024e-04	  -3.064	  -2.346	   4.298	   0.230	
1.107e-04	  -3.233	  -2.487	   4.492	   0.231	
1.046e-04	  -3.153	  -2.358	   4.377	   0.234	
1.120e-04	  -3.189	  -2.416	   4.407	   0.226	
9.173e-05	  -3.201	  -2.456	   4.475	   0.234	
1.172e-04	  -3.188	  -2.316	   4.341	   0.228	
1.048e-04	  -3.102	  -2.362	   4.335	   0.230	
1.312e-04	  -3.179	  -2.359	   4.387	   0.233	
1.145e-04	  -3.113	  -2.361	   4.349	   0.232	
1.017e-04	  -3.106	  -2.412	   4.386	   0.233	
1.003e-04	  -3.102	  -2.302	   4.323	   0.235	
1.044e-04	  -3.153	  -2.423	   4.388	   0.227	
1.043e-04	  -3.161	  -2.424	   4.421	   0.232	
9.599e-05	  -3.108	  -2.314	   4.307	   0.230	
9.978e-05	  -3.125	  -2.355	   4.340	   0.229	
9.814e-05	  -3.168	  -2.345	   4.358	   0.230	
1.204e-04	  -3.162	  -2.381	   4.386	   0.232	
1.115e-04	  -3.048	  -2.234	   4.244	   0.233	
9.662e-05	  -3.145	  -2.364	   4.348	   0.229	
1.181e-04	  -3.206	  -2.435	   4.461	   0.235	
1.049e-04	  -3.203	  -2.312	   4.360	   0.230	
1.089e-04	  -3.062	  -2.413	   4.328	   0.227	
1.075e-04	  -3.142	  -2.380	   4.373	   0.231	
1.085e-04	  -3.172	  -2.429	   4.419	   0.231	
8.966e-05	  -3.112	  -2.381	   4.329	   0.224	
1.022e-04	  -3.089	  -2.401	   4.340	   0.228	
8.904e-05	  -3.132	  -2.463	   4.426	   0.231	
1.038e-04	  -3.157	  -2.368	   4.382	   0.233	
1.029e-04	  -3.204	  -2.443	   4.441	   0.230	
8.724e-05	  -3.043	  -2.326	   4.282	   0.231	
1.034e-04	  -3.203	  -2.428	   4.449	   0.233	
1.072e-04	  -3.246	  -2.331	   4.412	   0.231	
1.095e-04	  -3.096	  -2.370	   4.372	   0.238	
1.143e-04	  -3.156	  -2.351	   4.340	   0.228	
1.001e-04	  -3.087	  -2.306	   4.316	   0.234	
1.207e-04	  -3.174	  -2.485	   4.442	   0.227	
1.069e-04	  -3.178	  -2.449	   4.409	   0.225	
1.156e-04	  -3.256	  -2.478	   4.511	   0.233	
9.803e-05	  -3.095	  -2.338	   4.334	   0.233	
9.858e-05	  -3.180	  -2.367	   4.429	   0.238	
1.101e-04	  -3.117	  -2.270	   4.315	   0.235	
1.114e-04	  -3.050	  -2.384	   4.338	   0.234	
1.295e-04	  -3.051	  -2.407	   4.360	   0.235	
1.062e-04	  -3.075	  -2.428	   4.352	   0.229	
1.051e-04	  -3.215	  -2.393	   4.413	   0.229	
9.610e-05	  -3.005	  -2.394	   4.297	   0.230	
1.142e-04	  -3.086	  -2.295	   4.300	   0.233	
9.149e-05	  -3.173	  -2.394	   4.435	   0.237	
9.929e-05	  -3.159	  -2.398	   4.374	   0.227	
9.589e-05	  -3.115	  -2.333	   4.300	   0.226	
7.620e-05	  -3.224	  -2.379	   4.446	   0.235	
9.477e-05	  -3.228	  -2.457	   4.487	   0.234	
1.078e-04	  -3.365	  -2.393	   4.560	   0.241	
1.223e-04	  -3.230	  -2.443	   4.463	   0.231	
1.157e-04	  -3.203	  -2.569	   4.544	   0.233	
8.451e-05	  -3.071	  -2.406	   4.384	   0.238	
1.023e-04	  -3.167	  -2.354	   4.381	   0.233	
9.445e-05	  -3.071	  -2.345	   4.307	   0.230	
1.070e-04	  -3.232	  -2.446	   4.485	   0.233	
9.660e-05	  -3.104	  -2.348	   4.329	   0.230	
9.544e-05	  -3.108	  -2.334	   4.337	   0.233	
1.113e-04	  -3.228	  -2.348	   4.400	   0.231	
1.063e-04	  -3.160	  -2.325	   4.354	   0.232	
9.648e-05	  -3.159	  -2.321	   4.317	   0.226	
9.924e-05	  -3.152	  -2.228	   4.269	   0.229	
1.148e-04	  -3.088	  -2.434	   4.395	   0.234	
8.036e-05	  -2.903	  -2.256	   4.173	   0.235	
1.104e-04	  -3.088	  -2.358	   4.311	   0.228	
1.227e-04	  -3.211	  -2.459	   4.468	   0.231	
9.272e-05	  -3.263	  -2.453	   4.526	   0.237	
8.371e-05	  -3.180	  -2.344	   4.398	   0.236	
1.041e-04	  -3.128	  -2.268	   4.296	   0.232	
1.107e-04	  -3.106	  -2.367	   4.341	   0.231	
1.013e-04	  -3.199	  -2.334	   4.350	   0.227	
1.059e-04	  -3.030	  -2.316	   4.250	   0.227	
9.235e-05	  -3.007	  -2.328	   4.257	   0.231	
1.096e-04	  -3.144	  -2.398	   4.389	   0.231	
1.001e-04	  -3.244	  -2.391	   4.421	   0.228	
9.178e-05	  -3.113	  -2.329	   4.305	   0.227	
9.737e-05	  -3.010	  -2.264	   4.192	   0.226	
1.087e-04	  -2.963	  -2.252	   4.193	   0.231	
9.272e-05	  -3.141	  -2.471	   4.416	   0.229	
8.272e-05	  -3.082	  -2.352	   4.304	   0.227	
1.069e-04	  -3.132	  -2.338	   4.312	   0.226	
1.095e-04	  -3.161	  -2.385	   4.379	   0.230	
1.209e-04	  -3.241	  -2.620	   4.575	   0.231	
1.035e-04	  -3.014	  -2.379	   4.313	   0.233	
8.827e-05	  -3.101	  -2.331	   4.342	   0.235	
1.006e-04	  -3.117	  -2.427	   4.370	   0.228	
1.024e-04	  -3.157	  -2.448	   4.441	   0.234	
9.741e-05	  -3.159	  -2.438	   4.403	   0.227	
1.007e-04	  -3.087	  -2.484	   4.406	   0.231	
1.141e-04	  -3.097	  -2.382	   4.365	   0.234	
9.859e-05	  -3.167	  -2.415	   4.416	   0.231	
9.393e-05	  -3.154	  -2.409	   4.399	   0.231	
9.966e-05	  -3.090	  -2.431	   4.393	   0.234	
1.023e-04	  -3.155	  -2.348	   4.364	   0.232	
1.166e-04	  -3.160	  -2.408	   4.426	   0.236	
9.517e-05	  -3.126	  -2.383	   4.380	   0.234	
1.042e-04	  -3.067	  -2.376	   4.322	   0.229	
1.172e-04	  -3.226	  -2.448	   4.498	   0.237	
8.897e-05	  -3.146	  -2.332	   4.360	   0.233	
1.128e-04	  -3.282	  -2.297	   4.407	   0.232	
1.054e-04	  -3.125	  -2.409	   4.390	   0.233	
1.021e-04	  -3.218	  -2.434	   4.471	   0.235	
1.006e-04	  -3.197	  -2.344	   4.422	   0.238	
1.085e-04	  -3.178	  -2.471	   4.449	   0.231	
9.898e-05	  -3.023	  -2.346	   4.259	   0.226	
1.178e-04	  -3.233	  -2.424	   4.441	   0.231	
9.076e-05	  -3.149	  -2.338	   4.335	   0.229	
1.090e-04	  -3.249	  -2.453	   4.467	   0.229	
9.424e-05	  -3.173	  -2.351	   4.379	   0.232	
8.794e-05	  -3.122	  -2.399	   4.356	   0.227	
1.007e-04	  -3.153	  -2.366	   4.337	   0.224	
1.067e-04	  -3.063	  -2.440	   4.376	   0.233	
1.092e-04	  -3.208	  -2.274	   4.376	   0.237	
7.877e-05	  -3.037	  -2.338	   4.300	   0.234	
9.810e-05	  -3.159	  -2.201	   4.295	   0.237	
9.940e-05	  -3.171	  -2.354	   4.393	   0.234	
